mfccs,rolloff,energy,filename
"[-416.39520263671875, 94.86292266845703, 16.776599884033203, 20.000106811523438, -3.79819655418396, -0.07295183092355728, 2.3895483016967773, -3.109602212905884, 1.0721839666366577, 0.3086947202682495, -1.151961326599121, 0.8909177780151367, -3.3041296005249023]",2797.542735042735,0.0031163038,Jean_Paul_confirm.wav
"[-510.0621643066406, 71.02044677734375, 9.97689151763916, 0.5526695251464844, 3.360593557357788, 6.637247085571289, -12.451119422912598, -7.89977502822876, -1.735835313796997, -0.5863633155822754, -3.0804617404937744, -7.873636722564697, -11.864344596862793]",4306.175595238095,0.0004177765,jean_confirm.wav
"[-432.65081787109375, 140.2063446044922, 48.46390151977539, 9.009062767028809, -3.8194003105163574, -5.397422790527344, 1.9851514101028442, -2.5279572010040283, -3.0557053089141846, -2.646249771118164, -1.5382626056671143, -2.220216751098633, -2.320681095123291]",1328.2291666666667,0.0031610273,deolinda_yes.wav
"[-563.9675903320312, 72.18192291259766, 20.598312377929688, 9.056175231933594, 8.960644721984863, 4.804608345031738, -3.5332915782928467, -3.0077555179595947, -4.87436580657959, -3.6668877601623535, -2.4907290935516357, -9.003161430358887, -8.184432029724121]",4216.2109375,0.00040224215,jean_yes.wav
"[-435.0960693359375, 95.6465835571289, 27.003555297851562, 23.125221252441406, -0.05963946878910065, 0.45974433422088623, -4.473018646240234, -0.9239703416824341, -2.466855049133301, -0.013023526407778263, -1.5987725257873535, -1.2018662691116333, 2.762333393096924]",2657.696759259259,0.0026284226,Jean_paul_yes.wav
"[-398.777099609375, 101.90130615234375, -24.899845123291016, 26.568296432495117, 25.39176368713379, -6.707140922546387, 7.319850921630859, 1.5426398515701294, -1.8528592586517334, -0.6303635835647583, -10.118618965148926, -3.0714051723480225, -3.363370895385742]",5297.253024193548,0.0035224382,omar_confirm.wav
"[-374.305419921875, 158.9746856689453, 3.3185830116271973, 2.421869993209839, 0.09790167957544327, -9.546637535095215, -1.2991852760314941, -3.4644129276275635, -7.716739654541016, 7.990859031677246, -1.4886775016784668, -2.330038070678711, -1.8560385704040527]",1559.107730263158,0.002726369,deolinda_confirm.wav
"[-514.2896728515625, 60.855674743652344, -7.317972660064697, 19.79633903503418, 7.402599811553955, -2.7665443420410156, 8.296619415283203, -1.6768525838851929, 2.0911943912506104, 2.5883939266204834, -5.015491962432861, 0.2685360610485077, -5.051020622253418]",7274.618459302325,0.0028084693,omar_yes.wav
